tag,c,L,t,rho,se,n,seconds
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0011175158051320193,4.555894272368325e-05,537800,1800.5
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.001053096229032665,4.072405627975701e-05,634320,1800.4
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010611558692323057,6.641689078670176e-05,240304,666.7
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008577856941970563,3.65936964330845e-05,640020,1800.2
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0007795409027884764,3.464131009020311e-05,649100,1800.3
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008412051614496512,3.601811126738353e-05,647880,1800.5
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0007873644507307874,3.5162998192066574e-05,636300,1800.6
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008761922869727794,3.7243159246818574e-05,631140,1800.3
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008718175500663339,3.7090840353927604e-05,633160,1800.5
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008354383749079044,3.3139508927083766e-05,760080,1800.6
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008703465293423453,3.414921916282808e-05,745680,1800.3
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.000788384981656389,3.201332380217109e-05,768660,1800.5
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008226667357620355,3.2633102204525256e-05,771880,1800.3
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.000840782484777821,3.298972209563984e-05,771900,1800.5
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0007925090890068789,3.2180721748213204e-05,764660,1800.4
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008671011618022103,3.5035287586639926e-05,705800,1800.8
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008923765545766169,3.553726601255742e-05,705980,1800.4
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0007946503538443085,3.4503688281210785e-05,666960,1800.3
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008665829684294332,3.6409412899509386e-05,653140,1800.3
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008441696220181261,3.575351426143534e-05,659820,1800.3
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0007891920813269127,3.423450240740271e-05,672840,1800.4
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.000830367734282325,3.598605689687149e-05,640680,1800.3
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008238112193700839,3.649974657124616e-05,617860,1800.5
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0007960511298790231,3.3686115585541615e-05,700960,1800.6
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008453326241404202,4.005566860877628e-05,526420,1800.8
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008781857813547954,4.2883340687868205e-05,477120,1800.5
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008500120569086086,4.131143167611955e-05,497640,1800.6
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008395802098950524,3.964978137367398e-05,533600,1800.7
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008140148593236166,4.0633414026588596e-05,492620,1800.7
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0007929570429570429,4.0608310042396394e-05,480480,1801.2
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.000792833607907743,4.039052114632613e-05,485600,1800.4
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008042778888792279,4.1795598662444625e-05,460040,1800.8
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.000855215093042245,4.2849724472074145e-05,465380,1801.4
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008564689505838682,4.0674638380809536e-05,517240,1800.5
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0009020276672351715,4.1325719251752315e-05,527700,1801.8
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008515235862877234,3.947164450339566e-05,546080,1800.6
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008613152867273257,3.7326668194579076e-05,617660,1800.5
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008060845155906229,3.908507989527722e-05,527240,1800.4
